Time,Latitude,Longitude,Depth_Km,Magnitude
2016-08-24 05:15:36.490,42.6542,13.2012,11.4,2.3
2016-08-24 05:15:52.690,42.7335,13.1578,9.1,2.7
2016-08-24 05:16:30.160,42.7222,13.1605,8.2,3.5
2016-08-24 05:17:59.120,42.7588,13.1378,7.8,3.6
2016-08-24 05:18:59.730,42.7788,13.1385,9.5,2.7
2016-08-24 05:19:03.620,42.7862,13.2227,6.6,3.7
2016-08-24 05:20:29.450,42.736999999999995,13.1768,10.3,2.8
2016-08-24 05:21:58.330,42.7265,13.2362,9.3,3.0
2016-08-24 05:22:38.270,42.7718,13.1978,7.1,3.1
2016-08-24 05:24:07.590,42.7858,13.1682,9.6,2.4
2016-08-24 05:25:34.870,42.7537,13.1877,8.0,2.6
2016-08-24 05:26:14.290,42.7502,13.185,9.1,2.8
2016-08-24 05:27:36.730,42.6418,13.2608,9.5,2.5
2016-08-24 05:28:41.600,42.6862,13.1655,10.8,2.0
2016-08-24 05:28:58.810,42.7867,13.2315,8.4,2.8
2016-08-24 05:29:35.530,42.7132,13.1935,10.2,2.6
2016-08-24 05:30:43.900,42.7378,13.2042,10.2,2.7
2016-08-24 05:31:24.860,42.7608,13.1682,9.1,2.3
2016-08-24 05:31:45.960,42.7515,13.1542,7.2,2.9
2016-08-24 05:32:21.490,42.6125,13.324000000000002,4.0,2.8
2016-08-24 05:33:39.780,42.8138,13.2222,7.9,2.4
2016-08-24 05:34:21.890,42.6948,13.2417,8.9,2.5
2016-08-24 05:35:04.830,42.7188,13.2133,8.5,2.4
2016-08-24 05:35:33.790,42.821999999999996,13.158,9.9,2.5
2016-08-24 05:36:20.050,42.8,13.2262,8.6,2.8
2016-08-24 05:37:40.270,42.7373,13.1542,10.7,2.6
2016-08-24 05:38:50.890,42.6517,13.2508,11.1,2.1
2016-08-24 05:39:24.840,42.6172,13.2568,11.5,3.1
2016-08-24 05:40:10.930,42.6143,13.2437,10.7,4.1
2016-08-24 05:41:49.270,42.7582,13.1085,8.0,2.5
2016-08-24 05:42:50.160,42.7848,13.2187,6.8,2.8
2016-08-24 05:43:44.780,42.7125,13.1892,10.6,2.6
2016-08-24 05:44:47.930,42.7703,13.1192,11.0,2.1
2016-08-24 05:45:14.560,42.7397,13.2525,8.8,2.4
2016-08-24 05:45:43.010,42.728,13.1532,8.4,2.8
2016-08-24 05:46:23.480,42.7803,13.147,8.4,2.4
2016-08-24 05:47:04.500,42.8338,13.2247,15.0,2.3
2016-08-24 05:47:56.980,42.6125,13.257,11.8,2.5
2016-08-24 05:48:25.380,42.6268,13.2732,11.1,2.5
2016-08-24 05:49:28.060,42.7515,13.1957,10.0,2.8
2016-08-24 05:50:11.260,42.6542,13.2103,9.6,2.8
2016-08-24 05:51:09.800,42.8142,13.1613,9.5,3.0
2016-08-24 05:52:31.730,42.8277,13.134,8.8,2.2
2016-08-24 05:52:34.740,42.7002,13.2028,9.0,3.1
2016-08-24 05:53:55.540,42.6632,13.277000000000001,6.3,3.0
2016-08-24 05:54:22.650,42.7922,13.1538,10.3,2.4
2016-08-24 05:54:32.040,42.6393,13.3153,10.0,2.6
2016-08-24 05:55:20.890,42.7812,13.1477,8.3,2.7
2016-08-24 05:55:38.330,42.7307,13.1848,10.3,3.0
2016-08-24 05:56:08.360,42.6803,13.2288,6.6,2.4
2016-08-24 05:56:40.530,42.8163,13.2597,10.5,2.1
2016-08-24 05:57:11.080,42.6937,13.1707,10.5,2.5
2016-08-24 05:57:28.740,42.8223,13.1965,10.5,2.6
2016-08-24 05:58:53.480,42.7313,13.2067,9.3,2.2
2016-08-24 05:59:04.480,42.6488,13.2412,8.3,2.6
2016-08-24 05:59:57.510,42.722,13.2188,9.9,3.5
2016-08-24 06:00:51.150,42.7368,13.2312,10.4,3.2
2016-08-24 06:01:52.880,42.7437,13.1967,9.5,2.0
2016-08-24 06:03:03.270,42.6922,13.2557,8.9,2.4
2016-08-24 06:03:32.610,42.6627,13.2052,9.1,2.8
2016-08-24 06:04:07.200,42.7243,13.1907,10.5,2.2
2016-08-24 06:04:15.930,42.7363,13.2127,10.7,2.2
2016-08-24 06:04:47.520,42.7927,13.1525,8.3,2.4
2016-08-24 06:05:16.110,42.738,13.1662,10.2,2.7
2016-08-24 06:06:50.980,42.771,13.1238,6.2,4.4
2016-08-24 06:10:01.480,42.5248,13.2902,16.6,2.4
2016-08-24 06:12:10.370,42.8052,13.2273,8.0,2.9
2016-08-24 06:12:57.600,42.5842,13.2728,11.6,2.5
2016-08-24 06:14:07.840,42.8245,13.158,10.0,2.6
2016-08-24 06:14:16.240,42.7417,13.2448,8.9,2.3
2016-08-24 06:14:46.920,42.7203,13.1728,8.6,2.2
2016-08-24 06:14:51.010,42.7007,13.1898,9.2,2.3
2016-08-24 06:15:18.760,42.813,13.1683,9.6,3.1
2016-08-24 06:15:57.050,42.7192,13.1668,10.2,2.1
2016-08-24 06:16:40.590,42.8212,13.2158,10.0,2.7
2016-08-24 06:17:32.130,42.6443,13.2262,9.7,2.3
2016-08-24 06:19:13.430,42.7908,13.1187,6.9,2.3
2016-08-24 06:19:38.430,42.836999999999996,13.1313,6.1,2.7
2016-08-24 06:22:58.180,42.714,13.2183,10.5,2.1
2016-08-24 06:23:29.930,42.6005,13.2578,11.8,2.1
2016-08-24 06:24:24.500,42.5777,13.2588,11.0,2.9
2016-08-24 06:24:45.650,42.7818,13.1558,7.5,2.6
2016-08-24 06:25:58.940,42.6353,13.2363,9.7,3.4
2016-08-24 06:26:47.780,42.77,13.1668,9.4,3.5
2016-08-24 06:27:42.080,42.8217,13.1703,8.6,3.1
2016-08-24 06:28:38.650,42.7942,13.1342,8.7,2.7
2016-08-24 06:28:54.100,42.8098,13.1403,6.2,3.1
2016-08-24 06:30:07.800,42.8122,13.2253,9.9,2.7
2016-08-24 06:30:12.650,42.6705,13.2098,10.3,2.9
2016-08-24 06:30:53.980,42.6422,13.2188,9.2,3.0
2016-08-24 06:31:32.240,42.8168,13.1198,9.0,2.9
2016-08-24 06:32:14.230,42.6223,13.2502,11.2,2.0
2016-08-24 06:33:09.820,42.6232,13.2148,9.8,3.4
2016-08-24 06:34:13.160,42.7408,13.1615,10.2,2.6
2016-08-24 06:38:09.820,42.6287,13.2225,9.5,3.4
2016-08-24 06:39:33.560,42.7225,13.1642,10.4,2.2
2016-08-24 06:40:18.780,42.791000000000004,13.1578,8.4,2.3
2016-08-24 06:43:18.270,42.6222,13.2353,10.9,2.6
2016-08-24 06:44:10.810,42.6843,13.2392,10.1,2.6
2016-08-24 06:44:38.890,42.7322,13.1773,8.3,3.5
2016-08-24 06:46:09.390,42.7827,13.1637,9.9,3.2
2016-08-24 06:47:26.170,42.8077,13.1422,6.9,2.5
2016-08-24 06:50:27.090,42.7717,13.2112,6.7,2.2
2016-08-24 06:51:20.690,42.6292,13.3037,6.3,2.0
2016-08-24 06:51:56.240,42.8025,13.2303,9.6,2.4
2016-08-24 06:52:45.340,42.7257,13.1757,10.5,3.0
2016-08-24 06:53:23.410,42.7432,13.2455,7.5,2.2
2016-08-24 06:55:19.030,42.6005,13.2832,7.2,3.0
2016-08-24 06:57:37.160,42.8502,13.0405,7.6,3.5
2016-08-24 06:59:16.720,42.7122,13.2183,9.9,2.9
2016-08-24 06:59:53.360,42.6777,13.2977,6.4,2.8
2016-08-24 07:01:13.810,42.776,13.1603,9.8,2.7
2016-08-24 07:02:24.570,42.4623,13.2928,9.6,3.4
2016-08-24 07:03:35.300,42.5988,13.2735,16.6,2.3
2016-08-24 07:04:42.340,42.7738,13.1793,9.8,2.5
2016-08-24 07:05:28.100,42.653,13.2298,12.1,2.4
2016-08-24 07:07:58.810,42.6783,13.2107,11.0,2.0
2016-08-24 07:08:26.150,42.8313,13.2152,9.6,2.4
2016-08-24 07:11:31.350,42.8155,13.1742,8.3,2.4
2016-08-24 07:12:12.380,42.7887,13.1295,9.8,2.3
2016-08-24 07:12:39.570,42.7395,13.235999999999999,9.4,2.3
2016-08-24 07:13:34.650,42.6412,13.2517,10.9,2.3
2016-08-24 07:14:59.550,42.7822,13.169,8.8,2.3
2016-08-24 07:18:39.450,42.7142,13.2478,9.5,2.8
